cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
0,ISSUE,0,0,MOV,0,0,None,1,""
1,ISSUE,0,1,MOV,0,0,None,1,""
2,ISSUE,0,2,MOV,0,0,None,1,""
3,ISSUE,0,3,MOV,0,0,None,1,""
4,ISSUE,0,4,MOV,0,0,None,1,""
5,ISSUE,0,5,MOV,0,0,None,1,""
5,COMPLETE,0,0,ALU,0,-1,-1,0,""
6,ISSUE,0,6,MOV,0,0,None,1,""
6,COMPLETE,0,1,ALU,0,-1,-1,0,""
7,ISSUE,0,7,MOV,0,0,None,1,""
7,COMPLETE,0,2,ALU,0,-1,-1,0,""
8,ISSUE,0,0,LD,1,3,None,4,""
8,COMPLETE,0,3,ALU,0,-1,-1,0,""
9,ISSUE,0,1,LD,1,3,None,4,""
9,COMPLETE,0,4,ALU,0,-1,-1,0,""
10,ISSUE,0,2,LD,1,3,None,4,""
10,COMPLETE,0,5,ALU,0,-1,-1,0,""
11,ISSUE,0,3,LD,1,3,None,4,""
11,COMPLETE,0,6,ALU,0,-1,-1,0,""
12,ISSUE,0,4,LD,1,3,None,4,""
12,COMPLETE,0,7,ALU,0,-1,-1,0,""
13,ISSUE,0,5,LD,1,3,None,4,""
14,ISSUE,0,6,LD,1,3,None,4,""
15,ISSUE,0,7,LD,1,3,None,4,""
16,ISSUE,0,2,LD,2,4,None,4,""
17,ISSUE,0,3,LD,2,4,None,4,""
18,ISSUE,0,4,LD,2,4,None,4,""
19,ISSUE,0,5,LD,2,4,None,4,""
20,ISSUE,0,6,LD,2,4,None,4,""
21,ISSUE,0,7,LD,2,4,None,4,""
22,ISSUE,0,2,FFMA,0,1,2,4,""
23,ISSUE,0,3,FFMA,0,1,2,4,""
24,ISSUE,0,4,FFMA,0,1,2,4,""
25,ISSUE,0,5,FFMA,0,1,2,4,""
26,ISSUE,0,6,FFMA,0,1,2,4,""
27,ISSUE,0,7,FFMA,0,1,2,4,""
28,ISSUE,0,2,LD,1,3,None,4,""
29,ISSUE,0,3,LD,1,3,None,4,""
30,ISSUE,0,4,LD,1,3,None,4,""
31,ISSUE,0,5,LD,1,3,None,4,""
31,COMPLETE,0,2,ALU,0,-1,-1,0,""
32,ISSUE,0,6,LD,1,3,None,4,""
32,COMPLETE,0,3,ALU,0,-1,-1,0,""
33,ISSUE,0,7,LD,1,3,None,4,""
33,COMPLETE,0,4,ALU,0,-1,-1,0,""
34,ISSUE,0,2,LD,2,4,None,4,""
35,ISSUE,0,3,LD,2,4,None,4,""
36,ISSUE,0,4,LD,2,4,None,4,""
37,ISSUE,0,5,LD,2,4,None,4,""
38,ISSUE,0,6,LD,2,4,None,4,""
39,ISSUE,0,7,LD,2,4,None,4,""
40,ISSUE,0,2,FFMA,0,1,2,4,""
41,ISSUE,0,3,FFMA,0,1,2,4,""
42,ISSUE,0,4,FFMA,0,1,2,4,""
43,ISSUE,0,5,FFMA,0,1,2,4,""
44,ISSUE,0,6,FFMA,0,1,2,4,""
45,ISSUE,0,7,FFMA,0,1,2,4,""
45,COMPLETE,0,5,ALU,0,-1,-1,0,""
46,ISSUE,0,2,LD,1,3,None,4,""
46,COMPLETE,0,6,ALU,0,-1,-1,0,""
47,ISSUE,0,3,LD,1,3,None,4,""
47,COMPLETE,0,7,ALU,0,-1,-1,0,""
48,ISSUE,0,4,LD,1,3,None,4,""
49,ISSUE,0,5,LD,1,3,None,4,""
49,COMPLETE,0,2,ALU,0,-1,-1,0,""
50,ISSUE,0,6,LD,1,3,None,4,""
50,COMPLETE,0,3,ALU,0,-1,-1,0,""
51,ISSUE,0,7,LD,1,3,None,4,""
51,COMPLETE,0,4,ALU,0,-1,-1,0,""
52,ISSUE,0,2,LD,2,4,None,4,""
53,ISSUE,0,3,LD,2,4,None,4,""
54,ISSUE,0,4,LD,2,4,None,4,""
55,ISSUE,0,5,LD,2,4,None,4,""
56,ISSUE,0,6,LD,2,4,None,4,""
57,ISSUE,0,7,LD,2,4,None,4,""
58,ISSUE,0,2,FFMA,0,1,2,4,""
59,ISSUE,0,3,FFMA,0,1,2,4,""
60,ISSUE,0,4,FFMA,0,1,2,4,""
61,ISSUE,0,5,FFMA,0,1,2,4,""
62,ISSUE,0,6,FFMA,0,1,2,4,""
63,ISSUE,0,7,FFMA,0,1,2,4,""
63,COMPLETE,0,5,ALU,0,-1,-1,0,""
64,ISSUE,0,2,LD,1,3,None,4,""
64,COMPLETE,0,6,ALU,0,-1,-1,0,""
65,ISSUE,0,3,LD,1,3,None,4,""
